def_count,id,l_pit,moments_x,moments_y,ratio,s_pit,wxh
51,1293.jpg,0,398,179,0.4008498584,0,199798
21,863.jpg,0,478,213,0.3744813278,5,348004
8,1262.jpg,3,346,394,0.9866270431,3,446872
37,1567.jpg,0,435,181,0.3782051282,0,230100
50,1483.jpg,0,352,164,0.3736979167,0,220416
34,853.jpg,0,374,498,1.1630591631,3,558558
25,589.jpg,4,499,469,0.7253521127,2,716674
51,761.jpg,0,632,223,0.3153594771,0,472464
34,425.jpg,0,656,256,0.376910017,13,523032
47,760.jpg,0,396,143,0.3450608931,1,188445
41,116.jpg,0,299,211,0.7203703704,3,210060
57,1242.jpg,0,293,446,1.4354527938,2,386655
24,121.jpg,0,152,204,1.3593073593,1,72534
44,869.jpg,0,154,332,2.2913385827,0,147828
10,936.jpg,5,505,362,0.725308642,2,685260
33,1462.jpg,0,673,258,0.3901234568,11,575910
18,1224.jpg,0,245,300,1.2307692308,2,226512
18,1530.jpg,2,331,298,0.8746223565,4,383298
47,626.jpg,0,291,127,0.4112903226,0,101184
12,1379.jpg,5,551,474,0.8153988868,4,947562
23,1170.jpg,7,563,372,0.6425661914,1,619642
30,1029.jpg,0,342,195,0.6074450085,1,212169
30,791.jpg,0,240,177,0.7080291971,4,119601
37,1079.jpg,0,414,246,0.5938803894,1,307013
36,746.jpg,0,402,247,0.5093676815,3,371490
40,934.jpg,0,408,153,0.3883626522,5,212093
35,133.jpg,0,208,310,1.6666666667,0,198375
44,5.jpg,0,231,231,0.90969163,3,187502
50,1098.jpg,0,476,141,0.2485549133,0,185975
51,141.jpg,0,418,130,0.2740447958,0,157872
51,274.jpg,0,406,162,0.3403141361,0,198640
35,917.jpg,0,397,176,0.4314002829,3,215635
28,805.jpg,0,271,190,0.6230366492,1,204561
30,247.jpg,0,335,196,0.531881804,0,219906
38,1436.jpg,0,323,192,0.6171328671,6,201916
27,272.jpg,0,329,442,1.1256038647,4,434079
47,1199.jpg,0,299,112,0.3152173913,0,96048
31,1107.jpg,0,436,156,0.3623559539,7,221023
8,1432.jpg,5,512,439,0.7524663677,2,935485
37,798.jpg,0,228,278,1.4171122995,2,198220
37,15.jpg,0,524,133,0.2009661836,1,215280
29,1541.jpg,2,324,219,0.6117824773,9,268110
48,1328.jpg,0,294,114,0.3152985075,0,90584
39,1430.jpg,0,241,205,0.6778169014,2,218680
63,1394.jpg,0,340,186,0.4310099573,1,213009
62,152.jpg,0,296,186,0.5555555556,0,178605
20,903.jpg,0,377,224,0.5523520486,0,239876
33,1102.jpg,0,339,391,1.0734094617,4,403354
30,776.jpg,2,300,219,0.6161290323,10,236840
57,911.jpg,0,139,280,2.3866666667,0,120825
68,552.jpg,0,298,208,0.7203065134,2,196272
28,154.jpg,0,363,187,0.5932773109,1,210035
29,999.jpg,0,444,265,0.4806282723,11,438345
34,995.jpg,3,298,205,0.568852459,7,211670
38,261.jpg,0,276,269,0.8093645485,4,289432
57,231.jpg,0,139,211,1.8571428571,0,81900
27,472.jpg,0,528,136,0.1884720952,1,225158
22,1563.jpg,0,179,237,1.5655172414,7,131660
34,1081.jpg,0,356,197,0.5716612378,6,215514
25,1283.jpg,4,410,209,0.4642392718,4,274533
18,324.jpg,5,254,270,0.8638392857,3,173376
24,807.jpg,0,218,187,0.7423469388,4,114072
38,1173.jpg,0,340,310,0.8300561798,4,420792
18,1375.jpg,0,312,145,0.381294964,3,117872
37,466.jpg,0,364,372,0.8385876419,4,527345
52,1110.jpg,0,102,272,3.3851351351,0,74148
35,1329.jpg,0,341,148,0.4184397163,1,133104
40,1089.jpg,5,427,297,0.6700767263,4,409768
37,1498.jpg,0,116,162,1.7228915663,0,47476
42,197.jpg,0,182,356,2.1009771987,0,198015
21,145.jpg,0,494,221,0.369739479,4,368262
60,872.jpg,0,324,171,0.4308588064,0,203352
15,834.jpg,4,497,530,0.8786516854,2,695980
46,1466.jpg,0,505,196,0.3597938144,0,338530
42,309.jpg,0,95,226,3.275,0,47160
38,1482.jpg,0,336,383,1.0952380952,4,406203
20,339.jpg,0,131,178,1.4489795918,0,55664
69,821.jpg,0,415,185,0.3703190014,1,192507
36,959.jpg,0,322,351,1.0415282392,3,377454
35,1516.jpg,0,199,306,1.8852941176,3,217940
51,208.jpg,0,325,123,0.3122923588,0,113176
46,488.jpg,0,423,281,0.5053533191,3,440848
43,320.jpg,0,371,102,0.1989596879,0,117657
49,684.jpg,0,101,303,3.6845637584,0,81801
38,1271.jpg,0,394,210,0.4848883049,1,280809
55,673.jpg,0,326,240,0.64017991,0,284809
35,739.jpg,0,382,200,0.4474820144,4,216145
9,219.jpg,4,539,488,0.7268244576,2,747318
51,62.jpg,0,435,180,0.328320802,1,209076
26,156.jpg,0,366,246,0.6318051576,4,307818
39,1059.jpg,0,234,212,0.8012552301,3,183074
80,214.jpg,0,464,279,0.583429229,1,440583
39,1159.jpg,0,246,266,1.0760095012,4,190713
19,1376.jpg,6,590,498,0.7621225984,3,910469
51,1552.jpg,0,540,195,0.343189018,1,307775
77,597.jpg,0,494,227,0.4246724891,1,356324
10,802.jpg,3,426,452,0.8992346939,3,552720
33,670.jpg,0,243,260,0.9553571429,4,191744
49,168.jpg,0,455,178,0.3170426065,0,201894
11,900.jpg,6,499,357,0.6920600858,4,601140
43,1050.jpg,0,779,111,0.1143674053,0,223840
14,1453.jpg,4,254,271,0.8622222222,3,174600
47,486.jpg,0,497,138,0.225736096,0,189819
46,332.jpg,0,396,172,0.3898305085,4,195408
67,556.jpg,0,335,185,0.5362563238,1,188574
57,839.jpg,0,283,408,1.3585271318,2,361716
48,543.jpg,0,125,267,2.5729166667,0,94848
32,107.jpg,0,304,382,1.1258992806,4,348056
32,482.jpg,0,236,286,1.1186868687,1,175428
30,364.jpg,0,306,394,1.1372912801,4,330407
83,432.jpg,0,229,224,0.9366197183,1,169974
51,1068.jpg,0,135,213,1.823255814,0,84280
55,619.jpg,0,341,177,0.4213483146,0,213600
31,28.jpg,0,354,439,1.1137440758,4,446265
21,155.jpg,0,350,205,0.5642276423,0,213405
32,1064.jpg,0,615,208,0.3333333333,8,442368
26,298.jpg,5,533,282,0.5384615385,4,433251
52,662.jpg,0,450,219,0.4354285714,1,333375
18,1393.jpg,0,135,198,1.6097560976,2,67650
20,862.jpg,0,341,196,0.5353846154,1,226200
62,326.jpg,0,384,159,0.3774928775,0,186030
49,590.jpg,0,336,209,0.5443886097,0,194025
58,57.jpg,0,98,269,3.5179856115,0,67971
42,1267.jpg,0,213,284,1.5027777778,1,194760
30,1196.jpg,0,303,187,0.502276176,3,218129
13,680.jpg,5,486,373,0.7483940043,2,652866
53,837.jpg,0,344,194,0.5030395137,0,217798
31,847.jpg,0,548,132,0.2164383562,1,259515
36,473.jpg,0,423,175,0.3574097136,3,230461
48,351.jpg,0,193,314,1.9233226837,2,188426
54,289.jpg,1,461,174,0.3047619048,0,272160
32,1349.jpg,0,329,191,0.5618374558,0,179988
72,1386.jpg,0,319,196,0.650273224,2,195993
21,600.jpg,0,398,204,0.5102040816,0,240100
31,1140.jpg,0,306,197,0.5826377295,2,209051
31,59.jpg,0,325,128,0.3992606285,2,116856
26,828.jpg,0,311,149,0.4154929577,2,134048
51,838.jpg,0,172,356,2.3104693141,0,177280
37,82.jpg,0,175,287,1.9081632653,0,164934
40,1246.jpg,0,172,274,2.0107913669,0,155402
38,1274.jpg,0,258,396,1.632034632,2,348348
33,1247.jpg,0,377,193,0.5232744783,5,203098
56,1304.jpg,0,360,164,0.4108527132,0,170925
28,887.jpg,0,519,212,0.3388349515,6,359470
50,1360.jpg,0,134,214,1.9306930693,0,78780
38,1138.jpg,0,324,172,0.5099457505,6,155946
38,418.jpg,0,368,443,1.1081081081,3,547637
36,604.jpg,0,460,158,0.2966101695,0,202370
46,1351.jpg,0,361,215,0.5423976608,3,253764
40,535.jpg,0,288,161,0.4210526316,0,165528
30,521.jpg,0,167,273,1.7909407666,10,147518
57,1463.jpg,0,149,221,1.6578947368,0,86184
40,867.jpg,0,194,306,1.7041420118,0,194688
35,1.jpg,1,267,254,0.8757763975,4,204309
52,198.jpg,0,256,354,1.4617117117,2,288156
38,1544.jpg,0,228,230,0.8949671772,3,186913
28,963.jpg,0,352,192,0.520661157,0,190575
62,560.jpg,0,451,154,0.3155844156,1,187110
8,1024.jpg,3,408,465,0.9959731544,4,552790
28,143.jpg,0,497,168,0.2977983778,0,221791
40,361.jpg,0,213,386,2.1396011396,1,263601
16,1133.jpg,5,237,248,0.858190709,3,143559
34,254.jpg,0,181,312,2.1428571429,3,185220
58,972.jpg,0,314,187,0.5015673981,2,204160
58,1494.jpg,0,143,266,2.2045454545,0,106700
25,738.jpg,0,332,201,0.4759124088,2,223310
10,775.jpg,4,315,280,0.8571428571,5,268800
36,1258.jpg,0,235,350,1.4976525822,2,271788
12,1423.jpg,5,373,340,0.8083916084,4,413270
60,923.jpg,0,403,175,0.3865546218,0,197064
8,354.jpg,5,515,560,0.8964803313,2,836556
36,1058.jpg,2,366,451,1.0760233918,3,503424
28,725.jpg,0,450,179,0.3501849568,7,230324
30,1130.jpg,0,388,205,0.5509259259,5,231336
16,94.jpg,4,240,296,0.8920086393,2,191219
15,9.jpg,4,300,292,0.8277680141,5,267999
5,956.jpg,4,400,386,0.8112947658,0,427614
33,892.jpg,0,225,201,0.6817102138,2,120827
71,1570.jpg,0,301,186,0.5429553265,1,183912
17,561.jpg,0,260,281,1.1327433628,3,231424
49,474.jpg,0,324,199,0.5438311688,0,206360
35,1581.jpg,0,319,200,0.7052238806,0,202608
53,749.jpg,0,464,217,0.4536702768,1,313287
54,301.jpg,0,351,201,0.5693069307,1,209070
72,551.jpg,0,237,211,0.8683602771,1,162808
65,745.jpg,0,493,261,0.4983783784,2,426425
53,508.jpg,0,209,290,1.4971264368,2,181308
24,1305.jpg,0,191,242,1.5424836601,8,144432
8,613.jpg,3,460,504,0.9436133487,2,712580
30,885.jpg,0,176,265,1.6634304207,8,158826
39,752.jpg,0,366,166,0.3275167785,0,181780
35,852.jpg,0,409,203,0.4493580599,7,220815
11,691.jpg,5,475,591,1.0819490587,4,882231
48,1100.jpg,0,310,184,0.5142348754,3,162418
8,1093.jpg,3,408,451,0.923566879,3,569125
12,563.jpg,6,465,422,0.8747228381,4,711678
23,456.jpg,0,487,191,0.3447559709,2,319716
38,1269.jpg,0,218,270,1.3887399464,1,193214
39,1558.jpg,0,220,279,1.3492063492,0,192780
24,485.jpg,1,703,309,0.3311874106,3,647274
