	Unnamed: 0	def_count	id	l_pit	moments_x	moments_y	ratio	s_pit	wxh
1250	1250	21.0	1052.jpg	0.0	119.0	171.0	1.39473684211	0.0	50350.0
531	531	23.0	1213.jpg	0.0	145.0	182.0	1.20168067227	2.0	68068.0
448	448	18.0	1393.jpg	0.0	135.0	198.0	1.60975609756	2.0	67650.0
54	54	18.0	1473.jpg	0.0	136.0	175.0	1.28828828829	2.0	63492.0
1088	1088	31.0	73.jpg	0.0	490.0	152.0	0.297076023392	1.0	217170.0
489	489	28.0	143.jpg	0.0	497.0	168.0	0.297798377752	0.0	221791.0
223	223	30.0	380.jpg	0.0	490.0	159.0	0.295790671217	0.0	228540.0
705	705	38.0	558.jpg	0.0	402.0	169.0	0.407202216066	0.0	212268.0
1554	1554	43.0	765.jpg	0.0	451.0	167.0	0.357692307692	0.0	217620.0
817	817	36.0	969.jpg	0.0	472.0	162.0	0.330049261084	1.0	217616.0
1091	1091	29.0	992.jpg	0.0	459.0	174.0	0.352300242131	1.0	240366.0
677	677	36.0	1119.jpg	0.0	419.0	173.0	0.371202113606	0.0	212717.0
245	245	41.0	1179.jpg	0.0	431.0	174.0	0.355128205128	1.0	216060.0
756	756	36.0	1367.jpg	0.0	479.0	158.0	0.31124260355	0.0	222235.0
338	338	34.0	425.jpg	0.0	656.0	256.0	0.376910016978	13.0	523032.0
687	687	39.0	592.jpg	0.0	568.0	271.0	0.4493731919	8.0	483242.0
988	988	33.0	769.jpg	0.0	713.0	235.0	0.343876723439	11.0	522792.0
63	63	35.0	926.jpg	0.0	544.0	247.0	0.456967213115	16.0	435296.0
536	536	34.0	1087.jpg	0.0	477.0	232.0	0.482961222092	11.0	349761.0
1573	1573	26.0	1153.jpg	0.0	489.0	212.0	0.424242424242	8.0	362208.0
1545	1545	32.0	1229.jpg	0.0	511.0	226.0	0.444565217391	11.0	376280.0
1051	1051	31.0	1273.jpg	1.0	685.0	271.0	0.416064257028	15.0	644910.0
309	309	28.0	1296.jpg	1.0	581.0	255.0	0.428835489834	14.0	502048.0
685	685	32.0	1511.jpg	0.0	617.0	264.0	0.436997319035	13.0	547191.0
75	75	40.0	61.jpg	0.0	320.0	199.0	0.597222222222	3.0	198144.0
1110	1110	37.0	100.jpg	0.0	359.0	201.0	0.581395348837	3.0	210700.0
177	177	41.0	115.jpg	0.0	277.0	195.0	0.692307692308	2.0	187200.0
1112	1112	35.0	153.jpg	0.0	337.0	194.0	0.571912013536	2.0	199758.0
126	126	37.0	169.jpg	0.0	322.0	189.0	0.549180327869	1.0	204350.0
655	655	37.0	249.jpg	0.0	302.0	193.0	0.61717352415	2.0	192855.0
1046	1046	31.0	566.jpg	0.0	326.0	201.0	0.578859060403	3.0	205620.0
1106	1106	36.0	1175.jpg	0.0	301.0	186.0	0.597539543058	2.0	193460.0
1004	1004	39.0	1277.jpg	0.0	333.0	196.0	0.555555555556	3.0	202005.0
1100	1100	33.0	1425.jpg	0.0	341.0	192.0	0.552166934189	3.0	214312.0
1368	1368	82.0	58.jpg	0.0	247.0	220.0	0.8820861678	1.0	171549.0
949	949	73.0	88.jpg	0.0	236.0	223.0	0.891705069124	1.0	167958.0
846	846	80.0	242.jpg	0.0	230.0	230.0	0.946009389671	1.0	171678.0
829	829	74.0	398.jpg	0.0	232.0	212.0	0.889655172414	1.0	168345.0
1549	1549	85.0	427.jpg	0.0	230.0	236.0	0.973747016706	1.0	170952.0
514	514	72.0	551.jpg	0.0	237.0	211.0	0.868360277136	1.0	162808.0
1290	1290	79.0	582.jpg	0.0	247.0	206.0	0.840449438202	1.0	166430.0
1218	1218	76.0	914.jpg	0.0	237.0	209.0	0.849315068493	1.0	162936.0
1057	1057	82.0	1094.jpg	0.0	240.0	220.0	0.901376146789	1.0	171348.0
753	753	82.0	1471.jpg	0.0	241.0	220.0	0.890660592255	1.0	171649.0
1515	1515	52.0	42.jpg	0.0	492.0	255.0	0.487206823028	1.0	428666.0
89	89	44.0	450.jpg	0.0	327.0	174.0	0.44167962675	1.0	182612.0
1425	1425	61.0	513.jpg	0.0	461.0	230.0	0.470588235294	1.0	353736.0
447	447	52.0	662.jpg	0.0	450.0	219.0	0.435428571429	1.0	333375.0
1517	1517	66.0	737.jpg	0.0	466.0	263.0	0.547928994083	1.0	391235.0
515	515	65.0	745.jpg	0.0	493.0	261.0	0.498378378378	2.0	426425.0
971	971	49.0	800.jpg	0.0	500.0	236.0	0.434647302905	2.0	403916.0
293	293	55.0	1256.jpg	0.0	492.0	262.0	0.481288981289	1.0	445406.0
1381	1381	49.0	1405.jpg	0.0	495.0	241.0	0.436781609195	2.0	400026.0
1453	1453	69.0	1461.jpg	0.0	468.0	289.0	0.590401785714	1.0	473984.0
271	271	60.0	71.jpg	0.0	274.0	204.0	0.672828096118	0.0	196924.0
193	193	56.0	273.jpg	0.0	274.0	202.0	0.689265536723	0.0	194346.0
98	98	55.0	614.jpg	0.0	314.0	189.0	0.59375	1.0	196992.0
328	328	53.0	757.jpg	0.0	306.0	194.0	0.561666666667	1.0	202200.0
998	998	60.0	881.jpg	0.0	287.0	192.0	0.625886524823	1.0	199092.0
1518	1518	55.0	932.jpg	0.0	279.0	205.0	0.674115456238	1.0	194394.0
1498	1498	51.0	1169.jpg	0.0	294.0	192.0	0.572147651007	0.0	203236.0
1528	1528	55.0	1345.jpg	0.0	292.0	190.0	0.541598694943	1.0	203516.0
1436	1436	55.0	1398.jpg	0.0	293.0	196.0	0.629432624113	0.0	200220.0
1279	1279	65.0	1527.jpg	0.0	285.0	196.0	0.650735294118	1.0	192576.0
533	533	69.0	217.jpg	0.0	338.0	215.0	0.527065527066	1.0	259740.0
181	181	46.0	463.jpg	0.0	306.0	172.0	0.504504504505	0.0	155400.0
758	758	50.0	467.jpg	0.0	349.0	187.0	0.462686567164	0.0	207700.0
790	790	46.0	523.jpg	0.0	336.0	185.0	0.491114701131	0.0	188176.0
1531	1531	47.0	635.jpg	0.0	378.0	165.0	0.376912378303	1.0	194849.0
675	675	48.0	677.jpg	0.0	407.0	182.0	0.409333333333	1.0	230250.0
456	456	53.0	837.jpg	0.0	344.0	194.0	0.503039513678	0.0	217798.0
557	557	65.0	939.jpg	0.0	369.0	223.0	0.527590847914	3.0	291256.0
493	493	58.0	972.jpg	0.0	314.0	187.0	0.501567398119	2.0	204160.0
1090	1090	49.0	1208.jpg	0.0	339.0	202.0	0.492795389049	0.0	237348.0
87	87	65.0	60.jpg	0.0	293.0	198.0	0.683712121212	1.0	190608.0
38	38	65.0	224.jpg	0.0	313.0	203.0	0.667286245353	1.0	193142.0
151	151	72.0	360.jpg	0.0	342.0	202.0	0.654740608229	2.0	204594.0
380	380	68.0	552.jpg	0.0	298.0	208.0	0.72030651341	2.0	196272.0
1087	1087	68.0	572.jpg	0.0	325.0	193.0	0.629963898917	2.0	193346.0
1086	1086	60.0	622.jpg	0.0	333.0	194.0	0.613879003559	1.0	193890.0
646	646	69.0	831.jpg	0.0	314.0	206.0	0.662983425414	1.0	195480.0
965	965	52.0	1112.jpg	0.0	332.0	201.0	0.599309153713	2.0	200913.0
462	462	72.0	1386.jpg	0.0	319.0	196.0	0.650273224044	2.0	195993.0
955	955	67.0	1431.jpg	0.0	338.0	189.0	0.595818815331	2.0	196308.0
582	582	20.0	218.jpg	3.0	246.0	329.0	1.44202898551	6.0	247158.0
1369	1369	24.0	366.jpg	2.0	281.0	280.0	1.02474226804	4.0	241045.0
32	32	19.0	630.jpg	2.0	277.0	274.0	1.10412147505	6.0	234649.0
953	953	27.0	709.jpg	1.0	245.0	299.0	1.276849642	7.0	224165.0
1314	1314	18.0	721.jpg	1.0	269.0	291.0	1.06638115632	6.0	232566.0
1519	1519	26.0	968.jpg	2.0	266.0	302.0	1.13490364026	5.0	247510.0
1181	1181	19.0	1017.jpg	1.0	258.0	303.0	1.08771929825	9.0	226176.0
689	689	23.0	1066.jpg	3.0	260.0	293.0	1.08176100629	6.0	246132.0
1466	1466	25.0	1284.jpg	2.0	281.0	292.0	1.0101010101	7.0	247500.0
77	77	16.0	1372.jpg	4.0	291.0	335.0	1.20198019802	5.0	306535.0
1570	1570	54.0	49.jpg	0.0	129.0	231.0	2.12	0.0	84800.0
1213	1213	51.0	419.jpg	0.0	152.0	266.0	2.13636363636	0.0	125114.0
1344	1344	55.0	553.jpg	0.0	137.0	260.0	2.44600938967	0.0	110973.0
279	279	54.0	571.jpg	0.0	118.0	217.0	2.25423728814	0.0	70623.0
605	605	58.0	792.jpg	0.0	132.0	232.0	2.12376237624	0.0	86658.0
1311	1311	57.0	1132.jpg	0.0	131.0	228.0	2.35789473684	0.0	85120.0
9	9	54.0	1263.jpg	0.0	116.0	215.0	2.22988505747	0.0	67512.0
1370	1370	45.0	1355.jpg	0.0	114.0	213.0	2.36094674556	0.0	67431.0
1407	1407	61.0	1392.jpg	0.0	136.0	245.0	2.34466019417	0.0	99498.0
1540	1540	46.0	1460.jpg	0.0	124.0	213.0	2.23976608187	0.0	65493.0
1581	1581	53.0	56.jpg	1.0	366.0	149.0	0.320905459387	0.0	180991.0
460	460	54.0	289.jpg	1.0	461.0	174.0	0.304761904762	0.0	272160.0
1017	1017	60.0	678.jpg	1.0	452.0	225.0	0.347357065804	0.0	298494.0
1191	1191	41.0	689.jpg	0.0	407.0	132.0	0.244552058111	2.0	166852.0
1079	1079	37.0	720.jpg	0.0	425.0	161.0	0.276404494382	1.0	218940.0
520	520	39.0	752.jpg	0.0	366.0	166.0	0.327516778523	0.0	181780.0
912	912	43.0	771.jpg	0.0	432.0	116.0	0.246462264151	1.0	177232.0
979	979	44.0	844.jpg	0.0	381.0	143.0	0.284759358289	1.0	159324.0
658	658	43.0	882.jpg	0.0	391.0	122.0	0.239348370927	2.0	152418.0
878	878	49.0	1239.jpg	0.0	434.0	161.0	0.306074766355	1.0	224272.0
322	322	50.0	173.jpg	0.0	439.0	145.0	0.279151943463	1.0	201213.0
1475	1475	55.0	302.jpg	0.0	444.0	141.0	0.280339805825	0.0	190344.0
114	114	56.0	588.jpg	0.0	371.0	155.0	0.411589895988	0.0	186421.0
920	920	58.0	606.jpg	0.0	359.0	160.0	0.388571428571	0.0	190400.0
339	339	47.0	760.jpg	0.0	396.0	143.0	0.345060893099	1.0	188445.0
960	960	47.0	797.jpg	0.0	471.0	149.0	0.259343148358	1.0	202207.0
1389	1389	62.0	996.jpg	0.0	349.0	160.0	0.419259259259	0.0	191025.0
1487	1487	57.0	1186.jpg	0.0	395.0	149.0	0.328104575163	0.0	192015.0
1492	1492	61.0	1378.jpg	0.0	393.0	146.0	0.310828025478	1.0	191540.0
1082	1082	56.0	1452.jpg	0.0	377.0	157.0	0.389204545455	0.0	192896.0
1007	1007	56.0	265.jpg	0.0	353.0	196.0	0.461200585652	2.0	215145.0
29	29	54.0	310.jpg	0.0	315.0	168.0	0.432835820896	1.0	157383.0
1036	1036	45.0	393.jpg	0.0	320.0	159.0	0.437810945274	1.0	159192.0
1391	1391	58.0	660.jpg	0.0	309.0	173.0	0.48951048951	1.0	160160.0
1220	1220	52.0	772.jpg	0.0	310.0	171.0	0.45746388443	2.0	177555.0
226	226	55.0	904.jpg	0.0	314.0	211.0	0.546952224053	1.0	201524.0
1127	1127	56.0	1080.jpg	0.0	316.0	144.0	0.407094594595	2.0	142672.0
1329	1329	43.0	1344.jpg	0.0	337.0	162.0	0.394984326019	1.0	160776.0
1568	1568	57.0	1373.jpg	0.0	321.0	189.0	0.475155279503	2.0	197064.0
901	901	47.0	1514.jpg	0.0	287.0	160.0	0.487179487179	2.0	145236.0
1432	1432	38.0	25.jpg	0.0	366.0	214.0	0.582959641256	0.0	260910.0
176	176	39.0	45.jpg	0.0	410.0	245.0	0.612535612536	1.0	301860.0
261	261	48.0	258.jpg	0.0	331.0	225.0	0.641196013289	0.0	232372.0
736	736	36.0	335.jpg	0.0	353.0	228.0	0.632	0.0	246875.0
1235	1235	31.0	437.jpg	0.0	391.0	254.0	0.651851851852	1.0	297000.0
1534	1534	40.0	516.jpg	0.0	344.0	228.0	0.656910569106	2.0	248460.0
939	939	43.0	623.jpg	0.0	382.0	217.0	0.585626911315	1.0	250482.0
1541	1541	35.0	774.jpg	0.0	412.0	238.0	0.570644718793	2.0	303264.0
316	316	35.0	1202.jpg	0.0	352.0	209.0	0.614767255217	1.0	238609.0
600	600	38.0	1289.jpg	0.0	331.0	196.0	0.566037735849	0.0	192390.0
340	340	41.0	116.jpg	0.0	299.0	211.0	0.72037037037	3.0	210060.0
907	907	41.0	178.jpg	0.0	303.0	206.0	0.672443674177	3.0	223876.0
